date,count_above_1M
2021-06-10,13
2021-06-11,13
2021-06-12,13
2021-06-13,14
2021-06-14,14
2021-06-15,14
2021-06-16,14
2021-06-17,14
2021-06-18,14
2021-06-19,14
2021-06-20,14
2021-06-21,14
2021-06-22,14
2021-06-23,14
2021-06-24,14
2021-06-25,14
2021-06-26,14
2021-06-27,14
2021-06-28,14
2021-06-29,14
2021-06-30,14
2021-07-01,14
2021-07-02,14
2021-07-03,14
2021-07-04,14
2021-07-05,14
2021-07-06,14
2021-07-07,14
2021-07-08,14
2021-07-09,14
2021-07-10,14
2021-07-11,14
2021-07-12,14
2021-07-13,14
2021-07-14,14
2021-07-15,14
2021-07-16,14
2021-07-17,14
2021-07-18,14
2021-07-19,14
2021-07-20,14
2021-07-21,14
2021-07-22,14
2021-07-23,14
2021-07-24,14
2021-07-25,14
2021-07-26,14
2021-07-27,14
2021-07-28,14
2021-07-29,14
2021-07-30,14
2021-07-31,14
2021-08-01,14
2021-08-02,14
2021-08-03,14
2021-08-04,14
2021-08-05,14
2021-08-06,14
2021-08-07,14
2021-08-08,14
2021-08-09,14
2021-08-10,14
2021-08-11,14
2021-08-12,14
2021-08-13,14
2021-08-14,14
2021-08-15,14
2021-08-16,14
2021-08-17,14
2021-08-18,14
2021-08-19,14
2021-08-20,14
2021-08-21,14
2021-08-22,14
2021-08-23,14
2021-08-24,14
2021-08-25,14
2021-08-26,14
2021-08-27,14
2021-08-28,14
2021-08-29,14
2021-08-30,14
2021-08-31,14
2021-09-01,14
2021-09-02,14
2021-09-03,14
2021-09-04,14
2021-09-05,14
2021-09-06,14
2021-09-07,14
2021-09-08,14
2021-09-09,14
2021-09-10,14
2021-09-11,14
2021-09-12,14
2021-09-13,14
2021-09-14,14
2021-09-15,14
2021-09-16,14
2021-09-17,14
2021-09-18,14
2021-09-19,14
2021-09-20,14
2021-09-21,14
2021-09-22,14
2021-09-23,14
2021-09-24,14
2021-09-25,14
2021-09-26,14
2021-09-27,14
2021-09-28,14
2021-09-29,14
2021-09-30,14
2021-10-01,14
2021-10-02,14
2021-10-03,14
2021-10-04,14
2021-10-05,14
2021-10-06,14
2021-10-07,14
2021-10-08,14
2021-10-09,14
2021-10-10,14
2021-10-11,14
2021-10-12,14
2021-10-13,14
2021-10-14,14
2021-10-15,14
2021-10-16,14
2021-10-17,14
2021-10-18,14
2021-10-19,14
2021-10-20,14
2021-10-21,14
2021-10-22,14
2021-10-23,14
2021-10-24,14
2021-10-25,14
2021-10-26,14
2021-10-27,14
2021-10-28,14
2021-10-29,14
2021-10-30,14
2021-10-31,14
2021-11-01,14
2021-11-02,14
2021-11-03,14
2021-11-04,14
2021-11-05,14
2021-11-06,14
2021-11-07,14
2021-11-08,14
2021-11-09,14
2021-11-10,14
2021-11-11,14
2021-11-12,14
2021-11-13,14
2021-11-14,14
2021-11-15,14
2021-11-16,14
2021-11-17,14
2021-11-18,14
2021-11-19,14
2021-11-20,14
2021-11-21,14
2021-11-22,14
2021-11-23,14
2021-11-24,14
2021-11-25,14
2021-11-26,14
2021-11-27,14
2021-11-28,14
2021-11-29,14
2021-11-30,14
2021-12-01,14
2021-12-02,14
2021-12-03,14
2021-12-04,14
2021-12-05,14
2021-12-06,14
2021-12-07,14
2021-12-08,14
2021-12-09,14
2021-12-10,14
2021-12-11,14
2021-12-12,14
2021-12-13,14
2021-12-14,14
2021-12-15,14
2021-12-16,14
2021-12-17,14
2021-12-18,14
2021-12-19,14
2021-12-20,14
2021-12-21,14
2021-12-22,14
2021-12-23,14
2021-12-24,14
2021-12-25,14
2021-12-26,14
2021-12-27,14
2021-12-28,14
2021-12-29,14
2021-12-30,14
2021-12-31,14
2022-01-01,14
2022-01-02,14
2022-01-03,14
2022-01-04,35
2022-01-05,31
2022-01-06,31
2022-01-07,33
2022-01-08,35
2022-01-09,66
2022-01-10,91
2022-01-11,93
2022-01-12,98
2022-01-13,101
2022-01-14,104
2022-01-15,104
2022-01-16,104
2022-01-17,105
2022-01-18,112
2022-01-19,112
2022-01-20,112
2022-01-21,116
2022-01-22,116
2022-01-23,117
2022-01-24,120
2022-01-25,121
2022-01-26,122
2022-01-27,122
2022-01-28,125
2022-01-29,125
2022-01-30,125
2022-01-31,129
2022-02-01,133
2022-02-02,133
2022-02-03,133
2022-02-04,135
2022-02-05,135
2022-02-06,135
2022-02-07,136
2022-02-08,137
2022-02-09,142
2022-02-10,142
2022-02-11,144
2022-02-12,146
2022-02-13,146
2022-02-14,147
2022-02-15,148
2022-02-16,149
2022-02-17,149
2022-02-18,149
2022-02-19,150
2022-02-20,150
2022-02-21,150
2022-02-22,150
2022-02-23,150
2022-02-24,152
2022-02-25,151
2022-02-26,151
2022-02-27,150
2022-02-28,150
2022-03-01,151
2022-03-02,151
2022-03-03,151
2022-03-04,151
2022-03-05,149
2022-03-06,150
2022-03-07,152
2022-03-08,151
2022-03-09,150
2022-03-10,153
2022-03-11,153
2022-03-12,152
2022-03-13,153
2022-03-14,153
2022-03-15,153
2022-03-16,154
2022-03-17,153
2022-03-18,154
2022-03-19,154
2022-03-20,154
2022-03-21,153
2022-03-22,154
2022-03-23,154
2022-03-24,156
2022-03-25,156
2022-03-26,156
2022-03-27,156
2022-03-28,155
2022-03-29,157
2022-03-30,157
2022-03-31,156
2022-04-01,156
2022-04-02,156
2022-04-03,156
2022-04-04,157
2022-04-05,157
2022-04-06,155
2022-04-07,156
2022-04-08,157
2022-04-09,156
2022-04-10,156
2022-04-11,156
2022-04-12,156
2022-04-13,157
2022-04-14,159
2022-04-15,159
2022-04-16,158
2022-04-17,158
2022-04-18,159
2022-04-19,159
2022-04-20,159
2022-04-21,159
2022-04-22,159
2022-04-23,159
2022-04-24,159
2022-04-25,159
2022-04-26,159
2022-04-27,158
2022-04-28,159
2022-04-29,163
2022-04-30,163
2022-05-01,163
2022-05-02,164
2022-05-03,164
2022-05-04,163
2022-05-05,163
2022-05-06,164
2022-05-07,164
2022-05-08,163
2022-05-09,163
2022-05-10,163
2022-05-11,163
2022-05-12,163
2022-05-13,163
2022-05-14,163
2022-05-15,164
2022-05-16,164
2022-05-17,164
2022-05-18,164
2022-05-19,164
2022-05-20,164
2022-05-21,164
2022-05-22,164
2022-05-23,165
2022-05-24,167
2022-05-25,165
2022-05-26,165
2022-05-27,165
2022-05-28,165
2022-05-29,165
2022-05-30,168
2022-05-31,169
2022-06-01,169
2022-06-02,168
2022-06-03,168
2022-06-04,168
2022-06-05,168
2022-06-06,168
2022-06-07,168
2022-06-08,168
2022-06-09,168
2022-06-10,168
2022-06-11,168
2022-06-12,168
2022-06-13,168
2022-06-14,168
2022-06-15,169
2022-06-16,169
2022-06-17,169
2022-06-18,169
2022-06-19,169
2022-06-20,169
2022-06-21,169
2022-06-22,170
2022-06-23,170
2022-06-24,171
2022-06-25,171
2022-06-26,171
2022-06-27,173
2022-06-28,176
2022-06-29,177
2022-06-30,178
2022-07-01,179
2022-07-02,180
2022-07-03,180
2022-07-04,181
2022-07-05,179
2022-07-06,179
2022-07-07,178
2022-07-08,177
2022-07-09,177
2022-07-10,177
2022-07-11,176
2022-07-12,178
2022-07-13,179
2022-07-14,180
2022-07-15,180
2022-07-16,180
2022-07-17,180
2022-07-18,185
2022-07-19,183
2022-07-20,183
2022-07-21,186
2022-07-22,186
2022-07-23,188
2022-07-24,188
2022-07-25,187
2022-07-26,187
2022-07-27,189
2022-07-28,191
2022-07-29,192
2022-07-30,193
2022-07-31,193
2022-08-01,192
2022-08-02,196
2022-08-03,194
2022-08-04,196
2022-08-05,196
2022-08-06,196
2022-08-07,196
2022-08-08,195
2022-08-09,193
2022-08-10,193
2022-08-11,192
2022-08-12,192
2022-08-13,192
2022-08-14,192
2022-08-15,198
2022-08-16,198
2022-08-17,198
2022-08-18,200
2022-08-19,200
2022-08-20,202
2022-08-21,202
2022-08-22,207
2022-08-23,208
2022-08-24,208
2022-08-25,209
2022-08-26,210
2022-08-27,210
2022-08-28,211
2022-08-29,212
2022-08-30,212
2022-08-31,212
2022-09-01,212
2022-09-02,213
2022-09-03,214
2022-09-04,214
2022-09-05,213
2022-09-06,214
2022-09-07,213
2022-09-08,216
2022-09-09,217
2022-09-10,217
2022-09-11,217
2022-09-12,217
2022-09-13,214
2022-09-14,214
2022-09-15,213
2022-09-16,213
2022-09-17,211
2022-09-18,212
2022-09-19,212
2022-09-20,212
2022-09-21,214
2022-09-22,215
2022-09-23,215
2022-09-24,216
2022-09-25,216
2022-09-26,216
2022-09-27,219
2022-09-28,220
2022-09-29,219
2022-09-30,220
2022-10-01,220
2022-10-02,220
2022-10-03,220
2022-10-04,220
2022-10-05,221
2022-10-06,219
2022-10-07,219
2022-10-08,220
2022-10-09,220
2022-10-10,217
2022-10-11,216
2022-10-12,216
2022-10-13,219
2022-10-14,219
2022-10-15,219
2022-10-16,219
2022-10-17,219
2022-10-18,220
2022-10-19,219
2022-10-20,221
2022-10-21,220
2022-10-22,220
2022-10-23,220
2022-10-24,220
2022-10-25,220
2022-10-26,220
2022-10-27,222
2022-10-28,221
2022-10-29,221
2022-10-30,221
2022-10-31,220
2022-11-01,222
2022-11-02,223
2022-11-03,222
2022-11-04,223
2022-11-05,223
2022-11-06,223
2022-11-07,223
2022-11-08,223
2022-11-09,223
2022-11-10,225
2022-11-11,226
2022-11-12,228
2022-11-13,232
2022-11-14,232
2022-11-15,234
2022-11-16,234
2022-11-17,233
2022-11-18,231
2022-11-19,231
2022-11-20,231
2022-11-21,231
2022-11-22,232
2022-11-23,235
2022-11-24,236
2022-11-25,236
2022-11-26,236
2022-11-27,236
2022-11-28,237
2022-11-29,238
2022-11-30,238
2022-12-01,240
2022-12-02,238
2022-12-03,240
2022-12-04,239
2022-12-05,237
2022-12-06,236
2022-12-07,236
2022-12-08,236
2022-12-09,237
2022-12-10,237
2022-12-11,237
2022-12-12,235
2022-12-13,236
2022-12-14,235
2022-12-15,238
2022-12-16,238
2022-12-17,238
2022-12-18,238
2022-12-19,238
2022-12-20,238
2022-12-21,239
2022-12-22,241
2022-12-23,241
2022-12-24,241
2022-12-25,241
2022-12-26,241
2022-12-27,242
2022-12-28,241
2022-12-29,242
2022-12-30,241
2022-12-31,241
2023-01-01,241
2023-01-02,243
2023-01-03,243
2023-01-04,243
2023-01-05,243
2023-01-06,245
2023-01-07,246
2023-01-08,247
2023-01-09,249
2023-01-10,249
2023-01-11,249
2023-01-12,249
2023-01-13,250
2023-01-14,250
2023-01-15,250
2023-01-16,251
2023-01-17,250
2023-01-18,250
2023-01-19,250
2023-01-20,251
2023-01-21,251
2023-01-22,252
2023-01-23,251
2023-01-24,251
2023-01-25,248
2023-01-26,248
2023-01-27,251
2023-01-28,253
2023-01-29,253
2023-01-30,255
2023-01-31,255
2023-02-01,256
2023-02-02,255
2023-02-03,256
2023-02-04,256
2023-02-05,256
2023-02-06,255
2023-02-07,255
2023-02-08,255
2023-02-09,255
2023-02-10,253
2023-02-11,253
2023-02-12,251
2023-02-13,249
2023-02-14,249
2023-02-15,249
2023-02-16,248
2023-02-17,247
2023-02-18,247
2023-02-19,248
2023-02-20,249
2023-02-21,248
2023-02-22,248
2023-02-23,250
2023-02-24,250
2023-02-25,250
2023-02-26,250
2023-02-27,250
2023-02-28,252
2023-03-01,252
2023-03-02,253
2023-03-03,254
2023-03-04,254
2023-03-05,253
2023-03-06,246
2023-03-07,245
2023-03-08,245
2023-03-09,250
2023-03-10,251
2023-03-11,251
2023-03-12,250
2023-03-13,250
2023-03-14,251
2023-03-15,252
2023-03-16,254
2023-03-17,255
2023-03-18,255
2023-03-19,256
2023-03-20,256
2023-03-21,257
2023-03-22,257
2023-03-23,256
2023-03-24,256
2023-03-25,256
2023-03-26,256
2023-03-27,256
2023-03-28,258
2023-03-29,258
2023-03-30,259
2023-03-31,260
2023-04-01,260
2023-04-02,261
2023-04-03,261
2023-04-04,263
2023-04-05,262
2023-04-06,263
2023-04-07,263
2023-04-08,264
2023-04-09,263
2023-04-10,263
2023-04-11,262
2023-04-12,263
2023-04-13,263
2023-04-14,262
2023-04-15,261
2023-04-16,261
2023-04-17,261
2023-04-18,262
2023-04-19,263
2023-04-20,264
2023-04-21,264
2023-04-22,265
2023-04-23,264
2023-04-24,264
2023-04-25,264
2023-04-26,264
2023-04-27,264
2023-04-28,264
2023-04-29,264
2023-04-30,264
2023-05-01,264
2023-05-02,264
2023-05-03,265
2023-05-04,263
2023-05-05,263
2023-05-06,263
2023-05-07,263
2023-05-08,263
2023-05-09,263
2023-05-10,263
2023-05-11,263
2023-05-12,263
2023-05-13,263
2023-05-14,264
2023-05-15,263
2023-05-16,265
2023-05-17,266
2023-05-18,265
2023-05-19,266
2023-05-20,266
2023-05-21,266
2023-05-22,266
2023-05-23,265
2023-05-24,265
2023-05-25,265
2023-05-26,267
2023-05-27,267
2023-05-28,267
2023-05-29,267
2023-05-30,267
2023-05-31,267
2023-06-01,267
2023-06-02,267
2023-06-03,266
2023-06-04,266
2023-06-05,266
2023-06-06,266
2023-06-07,265
2023-06-08,265
2023-06-09,265
2023-06-10,265
2023-06-11,265
2023-06-12,265
2023-06-13,265
2023-06-14,265
2023-06-15,265
2023-06-16,265
2023-06-17,265
2023-06-18,265
2023-06-19,266
2023-06-20,266
2023-06-21,267
2023-06-23,269
2023-06-24,269
2023-06-25,270
2023-06-26,268
2023-06-27,268
2023-06-28,269
2023-06-29,268
2023-06-30,268
2023-07-01,268
2023-07-02,268
2023-07-03,268
2023-07-04,268
2023-07-05,268
2023-07-06,269
2023-07-07,269
2023-07-08,269
2023-07-09,269
2023-07-10,269
2023-07-11,269
2023-07-12,269
2023-07-13,269
2023-07-14,270
2023-07-15,270
2023-07-16,270
2023-07-17,269
2023-07-18,269
2023-07-19,269
2023-07-20,269
2023-07-21,269
2023-07-22,269
2023-07-23,269
2023-07-24,271
2023-07-25,271
2023-07-26,271
2023-07-27,271
2023-07-28,271
2023-07-29,271
2023-07-30,273
2023-07-31,274
2023-08-01,274
2023-08-02,274
2023-08-03,274
2023-08-04,274
2023-08-05,274
2023-08-06,274
2023-08-07,273
2023-08-08,272
2023-08-09,272
2023-08-10,271
2023-08-11,271
2023-08-12,273
2023-08-13,273
2023-08-14,274
2023-08-15,274
2023-08-16,273
2023-08-17,273
2023-08-18,274
2023-08-19,274
2023-08-20,274
2023-08-21,274
2023-08-22,275
2023-08-23,275
2023-08-24,275
2023-08-25,276
2023-08-26,276
2023-08-27,276
2023-08-28,276
2023-08-29,276
2023-08-30,276
2023-08-31,276
2023-09-01,277
2023-09-02,277
2023-09-04,277
2023-09-05,277
2023-09-07,278
2023-09-08,278
2023-09-09,278
2023-09-10,280
2023-09-11,280
2023-09-12,280
2023-09-13,281
2023-09-14,281
2023-09-15,280
2023-09-16,280
2023-09-17,280
2023-09-18,280
2023-09-19,279
2023-09-20,279
2023-09-21,279
2023-09-22,280
2023-09-23,281
2023-09-24,281
2023-09-25,282
2023-09-26,282
2023-09-27,282
2023-09-28,282
2023-09-29,282
2023-09-30,282
2023-10-01,282
2023-10-02,283
2023-10-03,282
2023-10-04,283
2023-10-05,283
2023-10-06,284
2023-10-07,284
2023-10-08,284
